audio,duuration,size,time_to_start,cpu_to_start,mem_to_start,time_to_validate,cpu_to_validate,mem_to_validate,time_to_save,cpu_to_save,mem_to_save,time_to_generate,cpu_to_generate,mem_to_generate
media/audio/Malaysia_XC170275_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_borneanus.mp3,120.0,2881454,2.1457672119140625e-06,46.5,92.4,0.29320693016052246,75.4,92.4,0.27777647972106934,54.7,92.5,28.947731494903564,74.3,94.0
media/audio/Malaysia_XC170275_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_bornea_LCf9t5f.mp3,120.0,2881454,2.1457672119140625e-06,48.3,93.7,0.3014566898345947,81.2,93.6,0.45151376724243164,70.7,93.7,26.960216522216797,71.4,93.6
media/audio/Malaysia2_XC151136_-_Collared_Kingfisher_-_Todiramphus_chloris_laubmannianus.mp3,120.0,2881454,9.298324584960938e-06,50.3,93.0,0.2252509593963623,48.8,92.9,0.19310307502746582,19.7,92.9,26.298559188842773,67.6,93.3
media/audio/Malaysia3_XC65347_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_concretus.mp3,111.49061224489796,896745,1.9073486328125e-06,40.0,91.3,0.257277250289917,75.7,91.4,0.0822453498840332,63.6,91.4,21.185903310775757,66.5,93.2
media/audio/Malaysia4_XC114363_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_concretus.mp3,103.08024943310657,2475825,1.430511474609375e-06,46.7,91.6,0.24240994453430176,58.9,91.6,0.0695183277130127,38.5,91.6,20.953561067581177,73.2,92.9
media/audio/Malaysia5_XC642405_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_concretus.mp3,98.77768707482993,1830831,2.1457672119140625e-06,40.8,92.9,0.19637656211853027,48.6,92.9,0.37966442108154297,20.4,92.9,20.63014316558838,67.7,93.8
media/audio/Malaysia6_XC290548_-_Rufous-collared_Kingfisher_-_Actenoides_concretus.mp3,90.5926530612245,2175521,2.384185791015625e-06,44.8,92.6,0.2628145217895508,84.5,92.3,0.11891794204711914,64.4,92.3,18.406026363372803,74.0,93.4
media/audio/Malaysia7_XC95840_-_Rufous-collared_Kingfisher_-_Actenoides_concretus.mp3,89.49551020408163,2149190,1.1682510375976562e-05,51.3,93.3,0.19188427925109863,49.3,93.4,0.33301544189453125,52.5,93.4,17.082719326019287,70.4,92.2
media/audio/Thailand9_XC177320_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,87.0750566893424,2091511,1.1920928955078125e-06,48.1,92.6,0.1935737133026123,64.4,92.6,0.09511256217956543,51.5,92.7,16.78213119506836,65.0,93.3
media/audio/Indonesia10_XC293219_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,83.53258503401361,2006248,1.6689300537109375e-06,43.5,92.8,0.16842055320739746,67.7,92.8,0.0955045223236084,41.7,92.8,15.61854863166809,63.7,93.0
media/audio/Malaysia11_XC30009_-_Rufous-collared_Kingfisher_-_Actenoides_concretus.mp3,83.06938775510204,1001468,1.6689300537109375e-06,46.0,93.0,0.1604909896850586,52.5,93.0,0.2430891990661621,64.0,93.0,15.92787480354309,64.7,93.5
media/audio/Thailand12_XC402013_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,82.15616780045352,1137900,1.9073486328125e-06,50.9,92.1,0.17863774299621582,78.1,92.1,0.08525991439819336,50.0,92.1,16.448650121688843,70.6,93.6
media/audio/Singapore13_XC756488_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,79.72414965986394,1914715,1.6689300537109375e-06,53.3,93.7,0.16100502014160156,40.3,93.7,0.09276556968688965,14.3,93.7,16.983669757843018,74.9,94.1
media/audio/Malaysia14_XC86947_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,71.74195011337868,1111393,1.6689300537109375e-06,42.1,93.2,0.1460435390472412,38.2,93.2,0.09079790115356445,28.1,93.2,13.136411905288696,66.9,94.1
media/audio/Malaysia15_XC642403_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_concretus.mp3,69.71907029478459,1228294,1.9073486328125e-06,51.2,92.9,0.2697606086730957,90.7,93.0,0.11383557319641113,55.8,93.0,12.50126576423645,61.7,93.7
media/audio/Thailand16_XC631904_-_Collared_Kingfisher_-_Todiramphus_chloris_armstrongi.mp3,69.43927437641723,2785205,1.6689300537109375e-06,50.2,93.0,0.16880416870117188,68.7,93.0,0.21803069114685059,49.3,93.0,12.86036229133606,67.2,93.8
media/audio/Philippines17_XC164693_-_Collared_Kingfisher_-_Todiramphus_chloris_collaris.mp3,68.64748299319727,1104361,1.430511474609375e-06,50.9,93.0,0.1417832374572754,46.2,93.0,0.08546209335327148,53.1,93.0,14.668133020401001,69.4,93.2
media/audio/Thailand18_XC715401_-_Collared_Kingfisher_-_Todiramphus_chloris.mp3,67.99199546485261,1633219,1.6689300537109375e-06,45.2,92.0,0.16434168815612793,65.6,92.0,0.30891990661621094,32.1,92.0,12.847499370574951,67.1,93.0
media/audio/Thailand18_XC715401_-_Collared_Kingfisher_-_Todiramphus_chloris_ZjClmYD.mp3,67.99199546485261,1633219,2.1457672119140625e-06,46.5,93.0,0.16957664489746094,63.6,93.0,0.09397673606872559,60.6,93.0,13.449071645736694,70.5,92.4
media/audio/Malaysia19_XC170298_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_borneanus.mp3,67.76163265306123,1627577,1.9073486328125e-06,45.6,92.4,0.20413517951965332,81.6,92.5,0.19490861892700195,63.9,92.4,12.91379189491272,64.8,93.5
media/audio/Malaysia20_XC65346_-_Rufous-collared_Kingfisher_-_Actenoides_concretus_concretus.mp3,66.40326530612245,536031,1.9073486328125e-06,46.8,93.8,0.316225528717041,85.4,93.9,0.16916584968566895,66.2,93.9,15.520818710327148,73.3,93.6
media/audio/XC191870_-_Common_Iora_-_Aegithina_tiphia.mp3,120.0,2881454,1.9073486328125e-06,15.6,73.4,6.043162822723389,32.2,73.4,0.09673643112182617,5.1,73.4,14.066762685775757,46.0,75.4
media/audio/XC580710_-_Common_Iora_-_Aegithina_tiphia.mp3,120.0,2881454,2.1457672119140625e-06,14.4,76.1,0.2080538272857666,35.8,76.2,0.25218939781188965,32.6,76.2,12.716516733169556,47.5,78.4
media/audio/XC214035_-_Common_Iora_-_Aegithina_tiphia.mp3,84.68895691609977,2033833,1.430511474609375e-06,16.4,79.7,3.8715999126434326,77.8,79.3,0.09500646591186523,5.6,79.3,10.723249435424805,45.5,80.3
media/audio/XC706576_-_Common_Iora_-_Aegithina_tiphia.mp3,100.70204081632653,2418146,1.6689300537109375e-06,15.2,81.8,0.17160630226135254,27.9,81.8,0.05397963523864746,0.0,81.8,12.372111797332764,43.0,83.1
media/audio/XC321683_-_Common_Iora_-_Aegithina_tiphia.mp3,95.97598639455782,2305297,1.430511474609375e-06,19.6,88.0,0.2569704055786133,56.0,86.5,0.1522226333618164,45.0,86.5,11.450566291809082,45.3,87.7
media/audio/XC610744_-_Common_Iora_-_Aegithina_tiphia.mp3,93.73909297052154,2251381,2.86102294921875e-06,22.3,89.6,0.21686410903930664,68.6,89.5,0.0860755443572998,48.4,89.5,12.519956111907959,55.4,90.2
